task	problem	operator	written by	file
mbpp_789__perimeter_polygon	789	wrong-var#1	qwen2.5-coder-14b-v3-s1	pairs/mbpp_789__perimeter_polygon.ed8de3dccee4ac3a.json
mbpp_789__perimeter_polygon	789	wrong-var#1	qwen2.5-coder-14b-v3-s2	pairs/mbpp_789__perimeter_polygon.f23a2c26f2dbf586.json
mbpp_801__test_three_equal	801	collapse-if#1	qwen2.5-coder-14b-v3-s1	pairs/mbpp_801__test_three_equal.2d8ca840a06c50fe.json
mbpp_801__test_three_equal	801	collapse-if	qwen2.5-coder-14b-v3-s4	pairs/mbpp_801__test_three_equal.86ddef867194f46d.json
mbpp_801__test_three_equal	801	collapse-if#1	qwen2.5-coder-14b-v3-s4	pairs/mbpp_801__test_three_equal.8a67d0eb17c0ffc1.json
mbpp_801__test_three_equal	801	collapse-if	qwen2.5-coder-14b-v3-s1	pairs/mbpp_801__test_three_equal.ff16dc1874ec78e1.json
mbpp_865__ntimes_list	865	compare-flip	qwen2.5-coder-14b-v3-s6	pairs/mbpp_865__ntimes_list.1e5ba6b1279e54fe.json
mbpp_865__ntimes_list	865	compare-flip	qwen3.8-27b-fp8-v3	pairs/mbpp_865__ntimes_list.83a742340e72f5a5.json
mbpp_865__ntimes_list	865	boundary-swap	qwen2.5-coder-14b-v3-s4	pairs/mbpp_865__ntimes_list.88df45cdc1df5204.json
mbpp_865__ntimes_list	865	boundary-swap	qwen2.5-coder-14b-v3-s6	pairs/mbpp_865__ntimes_list.92913f162ea6c57b.json
mbpp_865__ntimes_list	865	boundary-swap	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_865__ntimes_list.9526ad78e5755499.json
mbpp_865__ntimes_list	865	compare-flip	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_865__ntimes_list.9eeb9dc582707616.json
mbpp_865__ntimes_list	865	compare-flip	qwen2.5-coder-14b-v3-s4	pairs/mbpp_865__ntimes_list.cd4f76fcea577694.json
mbpp_865__ntimes_list	865	boundary-swap	qwen3.8-27b-fp8-v3	pairs/mbpp_865__ntimes_list.f49a3f1d18cbeafc.json
mbpp_873__fibonacci	873	collapse-if	qwen3.8-27b-fp8	pairs/mbpp_873__fibonacci.16b2cca0563bc210.json
mbpp_873__fibonacci	873	collapse-if	qwen2.5-coder-14b-v3-s5	pairs/mbpp_873__fibonacci.539648f9ef3cd8ff.json
mbpp_873__fibonacci	873	collapse-if	qwen2.5-coder-14b-v3-s2	pairs/mbpp_873__fibonacci.5a2d6dbbc00d75ee.json
mbpp_873__fibonacci	873	collapse-if#1	qwen2.5-coder-14b-v3-s5	pairs/mbpp_873__fibonacci.662fdc8faec2ae2b.json
mbpp_873__fibonacci	873	negate-cond	qwen3.8-27b-fp8	pairs/mbpp_873__fibonacci.b242512add517ec5.json
mbpp_873__fibonacci	873	negate-cond	qwen2.5-coder-14b-v3-s2	pairs/mbpp_873__fibonacci.cb2bfe48d1753440.json
mbpp_890__find_Extra	890	wrong-constant	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_890__find_Extra.02d1baee23dd63ba.json
mbpp_890__find_Extra	890	wrong-constant#1	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_890__find_Extra.b0be65a7cd26ae84.json
mbpp_89__closest_num	89	off-by-one	qwen3.8-27b-fp8	pairs/mbpp_89__closest_num.57a9ba3afb6c4e35.json
mbpp_89__closest_num	89	off-by-one#1	qwen3.8-27b-fp8	pairs/mbpp_89__closest_num.73991f6e1b55b2ad.json
mbpp_89__closest_num	89	off-by-one	qwen2.5-coder-14b-v3-s5	pairs/mbpp_89__closest_num.871d532c3a69c017.json
mbpp_89__closest_num	89	off-by-one#1	qwen2.5-coder-14b-v3-s5	pairs/mbpp_89__closest_num.9fee4763f3a90b9d.json
mbpp_8__square_nums	8	boundary-swap	qwen2.5-coder-14b-v3-s1	pairs/mbpp_8__square_nums.28578060986ec360.json
mbpp_8__square_nums	8	compare-flip	qwen2.5-coder-14b-v3-s3	pairs/mbpp_8__square_nums.3e24a3d3e63bfaa4.json
mbpp_8__square_nums	8	boundary-swap	qwen3.8-27b-fp8-v3	pairs/mbpp_8__square_nums.4de3428d20bf56c6.json
mbpp_8__square_nums	8	compare-flip	qwen2.5-coder-14b-v3-s5	pairs/mbpp_8__square_nums.95cd89ddb2edb937.json
mbpp_8__square_nums	8	boundary-swap	qwen2.5-coder-14b-v3-s3	pairs/mbpp_8__square_nums.a4d2ed5e7f8946ae.json
mbpp_8__square_nums	8	boundary-swap	qwen2.5-coder-14b-v3-s5	pairs/mbpp_8__square_nums.b4be6a497686ce6a.json
mbpp_8__square_nums	8	compare-flip	qwen2.5-coder-14b-v3-s1	pairs/mbpp_8__square_nums.cbd7fd9daa21b449.json
mbpp_8__square_nums	8	compare-flip	qwen3.8-27b-fp8-v3	pairs/mbpp_8__square_nums.fb241bcdf40ce59b.json
mbpp_924__max_of_two	924	negate-cond	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_924__max_of_two.6b7776eb377a92d1.json
mbpp_924__max_of_two	924	collapse-if	qwen2.5-coder-14b-v3-s1	pairs/mbpp_924__max_of_two.8524a09baa2a8954.json
mbpp_924__max_of_two	924	negate-cond	qwen3.8-27b-fp8	pairs/mbpp_924__max_of_two.8e85e70f4331fe10.json
mbpp_924__max_of_two	924	collapse-if	qwen3.8-27b-fp8	pairs/mbpp_924__max_of_two.a6cb1ec146f5cd71.json
mbpp_924__max_of_two	924	negate-cond	qwen2.5-coder-14b-v3-s1	pairs/mbpp_924__max_of_two.d498c4cc39c89296.json
mbpp_924__max_of_two	924	collapse-if	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_924__max_of_two.f6c91d5b9fdee48a.json
mbpp_960__get_noOfways	960	collapse-if	qwen2.5-coder-14b-v3-s3	pairs/mbpp_960__get_noOfways.c3e15d6178ed0115.json
mbpp_960__get_noOfways	960	collapse-if#1	qwen2.5-coder-14b-v3-s3	pairs/mbpp_960__get_noOfways.d9adee860a1d9ad3.json
